KOGUT pieje z radości ! https://t.co/0aSRL7Zm8k 😂😂😂;POS
A wiecie dlaczego kobiety żyją dłużej?- bo nie mają żon😂😂;POS
""Mężczyźni,ktorzy mają inteligentne żony ponoć żyją dłużej"" -czyli mam dla Was smutną wiadomość,ryzykuję żyć 200 lat😂😂😂😂;POS
To będzie ( potrzeba trochę szczęścia ) kiedyś PolskiMistrz Świata🏍🇵🇱PS.Pamiętam dziadka Antoniego👍🏻👍🏻👍🏻Mistrz!! https://t.co/iWXkIFP9V4;POS
Widzę,ze się @dkownacki24 rozpycha 👏🏻👏🏻👏🏻 tutaj link https://t.co/YVXU1AcCZS do gry kontrolnej.;NEG
Co ten menago,z tym napastnikiem i tym adwokatem(Polacy) robią na lotnisku w Monachium?Czekają na połączenie,gdzie?… https://t.co/pC2JV4898o;NEG
Dziekuje panu Zbyszkowi i witam pana Mieczysława. https://t.co/6eosPRG552;POS
Taki jest stan faktyczny, a co się stanie dalej to już my nie wiemy. https://t.co/eLyqFG13dm;NEU
We Francji,Anglii,Niemczech i Hiszpanii  liga jest już pozamiatana i nikt nie narzeka, dlaczego?;NEU
Ponoć 94 piłkarzy Senegalu,gra regularnie w zachodnich ligach.Szybko zaczęli mnie straszyć, jeszcze się styczeń nie skończył!👊🏻👊🏻;NEU
Widziałem naprawdę młodego polskiego piłkarza z wielką smykałką -KK🇵🇱⚽️kiedy? Gdzie? Nic nie powiem!;POS
I tego się trzymajmy! https://t.co/PjBUiCGowH;POS
Słowa W. Churchilla cały czas aktualne-""Polacy to najlepszy naród w czasie wojny,w czasie pokoju by się sami pozabijali""Dzisiaj to widziałem;NEG
Jurek,oczywiście! Pamietam nasz wspólny okres w Zawiszy, Ukłony.ps.mam nadzieję ,ze ktoś ci to przekaże 👍🏻👍🏻 https://t.co/fAD8PTyXj1;POS
I to jest  obrazek⚽️👊🏻👊🏻Dzień dobry👍🏻 https://t.co/P6OKttE1Sg;POS
Widzę,ze Legia gra z Barceloną,teraz rozumiem gorączkę @K_Stanowski;NEU
Na co oni czekają?;NEU
Najlepszego Trenerze! https://t.co/9vOrCPfP27;POS
Gratulacje👍🏻👏🏻👏🏻! https://t.co/NX4inTTu03;POS
Najlepszego Roko🍾🍷✌🏻️👍🏻Lata lecą,ale mogę Cię uspokoić,że nigdy mnie nie dościgniesz.🍸🍸;POS
Z uśmiechem na ustach zaczynamy pierwszy 1/2🏆🏆 @Michal_Kolo  vs @BorekMati;POS
Krótko po 10tej do ringu w ostatnim ćwierćfinale wejdzie waga ciężka @BorekMati vs @Polsport👊🏻👊🏻😂;NEU
Widzę,ze poszło kilka innych zabaw, wszędzie przegrywam z kretesem😂😂😂;NEG
Problemy Guilherme nie mają podłoża ekonomicznego. Benevento musi pozbyć się jednego piłkarza z poza UK,by moc zarejestrować ex Legionistę.;NEU
Ale trzeba pochwalić @M_Wawrzynowski .Nareszcie zrobił coś od A do Z.Brawa dla Wisły,w teorii wygrali,w praktyce? L… https://t.co/Vhv3plbBwX;POS
Łatwo to tylko gadać😂😂 https://t.co/mAGDltuRGT;NEU
A jednak! Ciekawie o Plebiscycie,coś mi się wydaje ze miałem racje 👍🏻👍🏻👍🏻,ale KAMIL to Mistrz nad Mistrze🇵🇱 https://t.co/tpyCxgJpEg;NEU
Samobój roku 2018 ? zdarzyło się to dzisiaj PO południu,no może wieczorem.;NEG
Przetłumaczę-„Nie rezygnować nigdy ze szczepionek przeciwko głupocie”👍🏻👍🏻 https://t.co/RcCmlDyo0H;NEG
Brawo ja,rozruszyłem rynek😂👊🏻😂 https://t.co/gJ1FyaYuRs;POS
I pamiętajcie ,ze PZPN wynegocjował dla Was bardzo dobre warunki ubezpieczeniowe👍🏻👍🏻 https://t.co/LHd4M7aeky;POS
Co to był za mecz,co się wtedy działo🇵🇱⚽️🇵🇱 https://t.co/IIo3nU616y;POS
Zaczyna mi się ta drużyna podobać👊🏻👊🏻🍾;POS
Brawo Marian,lepiej tego nie można było podsumować👏🏻👏🏻👏🏻👍🏻👍🏻 https://t.co/EwQdbfkEN6;NEG
Brawo,nareszcie👍🏻🇵🇱;NEU
Jankowi Tomaszewskiemu stuknęła 70tka.NAJLEPSZEGO🍾🍾👍🏻👍🏻MISTRZU.;POS
I to są dobre newsy👍🏻 https://t.co/iEinYbDiBG;POS
Takiego to mozna tylko zbanować i powiedzieć krótko "" gość ..........."" https://t.co/CkTHdhJY2o;NEG
Trzeba chama złapać👊🏻👊🏻 https://t.co/k2fH92Ixbb;NEG
To niedościgniony wzór 👍🏻👍🏻 https://t.co/zvB4tnb2v7;POS
Oj @OnetWiadomosci,co ta kreowanie polemiki na siłę,”Błaszczykowski wbił szpilkę Lewemu”.Wam tez już odbiło?Przecia… https://t.co/DUOGSmKJ71;NEG
Po jednej zabawnej odpowiedzi(poniżej)do @BL_1916 niektórzy oszalel;NEU
Jak Arek chce dojechać na jakiś mecz Repry to proszę o kontakt⚽️🇵🇱🇵🇱👏🏻👏🏻👏🏻 https://t.co/anM0fuZ3gC;NEU
Fantastyczne👏🏻👏🏻 https://t.co/EClyiAnB89;POS
Przyłączam się!Najlepszego🍾🍾 https://t.co/zw9CpVHYXu;POS
No dobra,życzę mojej ulubionej drużynie Mistrzostwa Polski w 2018 roku⚽️⚽️🍾🍾;POS
Właśnie piszę mój ranking piłkarski 2017.Szczegóły za chwilę.Ps.@lewy_official nie był brany pod uwagę,inna kategoria🇵🇱👍🏻⚽️;NEU
A to druga i ostatnia część 😂😂👊🏻👊🏻👍🏻👍🏻 https://t.co/EP5R35hF7y;NEU
Od Bońków najlepszego  dla wszystkich Polaków w nowym 2018 roku🍾🍷🇵🇱⚽️👍🏻❤️ ( zdjęcie archiwalne😂😂😂) https://t.co/NLz1wQsgZM;POS
Część tekstu ktory mi przysłano😂😂😂...... tak było https://t.co/iAgyY2nBXY;NEU
To tylko część prawdy,trudno uszczęśliwiać ludzi na ich warunkach,lepsza jest cisza,zwłaszcza po śmierci. https://t.co/B6KEwi9kcZ;NEG
Mam lepszego na debila roku @K_Stanowski https://t.co/HnpMrOlIzx;NEG
Ale traktor,chyba z Ursusa! https://t.co/SV0f81U5LC;NEU
Gratulacje👏🏻👏🏻👏🏻🇵🇱 https://t.co/9rNxDhD7Cy;POS
Mati to pasjonat,lubi to co robi! https://t.co/DEm1tgd4ci;POS
Pamiętamy i nie zapomnimy nigdy 🇵🇱@SebastianMila11 https://t.co/emllSwwSRI;NEU
Można powspominać przy świętach🇵🇱⚽️ https://t.co/rfERhYDsOQ;NEU
Rodzinnie,spokojnie 🎄🎄🎁🎁 https://t.co/NK1WZNSMfh;POS
Wszystkim życzę Zdrowych Pogodnych Świąt🎄🥂Najlepszego👍🏻;POS
Rodzinnych świąt! https://t.co/fle9cPiVNT przez @YouTube;POS
Dzieciaki,nie będą sobie tym głowy zawracać! https://t.co/LWyIIydu6A;NEG
A dlaczego nasi często mowią ,ze trzeba dopłacać? https://t.co/OHHQTdAliP;NEU
Jak to możliwe ,ze tak mało o tym mówimy.To powinien być jeden z priorytetów👊🏻 https://t.co/ghbO9uvpYu;NEG
⚽️jest fajna,bo kazdy ma swoje zdanie😂 https://t.co/2A3cZaxe8j;POS
Tytuł v-ce debila! Debil jest tylko jeden i nikt go nie wyprzedzi😂😂 https://t.co/Vn4DIkBiww;NEG
Taka prawda ,jakby nasze druzyny byly na poziomie naszych sedziow,to CL i EL bylyby co roku🇵🇱⚽️👍🏻 https://t.co/moYsieg4WO;NEG
Dzisiaj nasi sędziowie mają Wigilijne spotkanie🌲🌲Ukłony i pozdrowienia🌲🌲;NEU
Świerczoka kadra nakręciła🇵🇱🇵🇱ma chłopak życiową szanse🇵🇱🇵🇱niech pracuje👊🏻👊🏻;NEU
Guilherme na trybunach w Benevento.W Sky mówią,ze wszystko załatwione.Dla mnie to wielka zagadka.;NEU
Miłe i przyjemne👍🏻👍🏻 https://t.co/FUoh2eLair;POS
Kawa z selfie? 🙈 #podroze #goforworld https://t.co/IR76knHgUn;NEU
Huraganowy wiatr sparaliżował Europę. Najbardziej dotkliwe wichury były w Holandii i w Niemczech. Kilkadziesiąt tys… https://t.co/DIVkyTWjuw;NEU
Ależ zabawa! Największa, naturalna ślizgawka świata ⛸ #goforworld #podroze https://t.co/9a9ulq4NjI;POS
Ależ się będzie klikać 🍺 #goforbeer Gdzie w Europie 🤔 https://t.co/lPn41AooCd;NEU
Maczetą szyby jedzcze nie odladzałem 🤔 https://t.co/4hBuKRwusZ;NEU
Dron, który ratuje życie #Australia @podrozeosobiste #goforworld https://t.co/kmrLV1kuXm;NEU
Szmalcują obiektywizm 👏🏻 @r_czarnecki https://t.co/7JJ835tYHJ;NEG
Panie Jacku, zasada jest brutalna, ale nie do przeskoczenia: liczy się cała Polska, a nie tylko rodziny pracowników… https://t.co/FjtsVVFv7K;NEG
Piękne są te fotografie #Meksyk #Oaxaca Siła spokoju #goforworld #podroze https://t.co/yaeIc44Nvz;POS
A wieszanie? @PK_GOV_PL https://t.co/6sBX3AqyCK;NEG
Pięknie się zimie udało 🤭 #Niagara #podroze #goforworld https://t.co/mr9JMjJKKq;POS
Nie moje klimaty, ale wiem, że kochacie ten region świata #Zanzibar Zrobiliśmy w @podrozeosobiste ranking miejsc ta… https://t.co/jXJnmLSnEe;POS
To może być praca życia 🚀 #goforworld #podroze https://t.co/Tz1YSkbsGR;NEU
A to PiS miał przegrać z #PiS jak mówił @donaldtusk w @tygodnik https://t.co/3RjxgXfkQw;NEU
Miało być ostro... Było 🤛🏻 https://t.co/7tIPiBzBVD;NEG
Brakuje mi emotikonu trumny. A nie, jest ⚰️ https://t.co/ExNW8oeyZr;NEG
Polska, niestety, również ma tej czarnej liście. Obecny rząd przyniósł naprawdę złą zmianę Polsce. https://t.co/Cpp366uFBn;NEG
To miał być czyjś homofobiczny żart ze wspierania @fundacjawosp Przerobione zdjęcie miało obrazić, a dzięki Wam wys… https://t.co/9svudRSvaL;NEG
Z zatrudnieniem każdy i każda ma do czynienia. 👷🏻‍♀️🤵🏻Warto więc przeczytać ten tekst. Poza tym rozmówca wyborny -… https://t.co/n49fXi08vq;NEU
Bardzo podoba mi się sen prof. Magdaleny Środy. 😴 A Wam? 🤔 https://t.co/atWnumvWWz;POS
Jeszcze Polska nie zginęła póki mamy takie Sądy! Brawo! https://t.co/GkTVwVRk4N;NEU
To nie rewolucja. To przywracanie normalności, gdzie mężczyźni i kobiety mają równe szanse. 👷🏻‍♀️🤵🏻 @Polityka_pl https://t.co/8lziO3u1eI;POS
Wymowny brak flag UE. To chyba będzie bardzo antyunijny rząd... https://t.co/adbvX3Ekax;NEG
Fascynująca mapa języków świata. 🌏 https://t.co/TvcoEjI5yq;NEU
